id,dataset,throughput,init_table_size,memory_consumption,search_type,llc_miss,dtlb_miss,branch_miss,instructions,table_size,density
2.02409E+13,books,424311,100000000,3225172664,ex_mb_slin,257155478,0,0,0,200000000,0.5
2.02409E+13,books,430890,100000000,2687670560,ex_mb_slin,257744878,0,0,0,200000000,0.6
2.02409E+13,books,423133,100000000,2303886464,ex_mb_slin,258384766,0,0,0,200000000,0.7
2.02409E+13,osm,402152,100000000,8082747712,exponential,193731269,0,0,0,200000000,0.2
2.02409E+13,osm,398414,100000000,5404893144,exponential,194607449,0,0,0,200000000,0.3
2.02409E+13,osm,393819,100000000,4066050704,exponential,195922413,0,0,0,200000000,0.4
2.02409E+13,osm,386450,100000000,3265569784,exponential,197177313,0,0,0,200000000,0.5
2.02409E+13,osm,385088,100000000,2733094792,exponential,198472444,0,0,0,200000000,0.6
2.02409E+13,osm,386118,100000000,2365159640,exponential,199093059,0,0,0,200000000,0.7
2.02409E+13,osm,305945,100000000,8082747712,mb_bbin,231763740,0,0,0,200000000,0.2
2.02409E+13,osm,315592,100000000,5404893144,mb_bbin,229731254,0,0,0,200000000,0.3
2.02409E+13,osm,325076,100000000,4066050704,mb_bbin,228753671,0,0,0,200000000,0.4
2.02409E+13,osm,325099,100000000,3265569784,mb_bbin,227876194,0,0,0,200000000,0.5
2.02409E+13,osm,332912,100000000,2733094792,mb_bbin,227159986,0,0,0,200000000,0.6
2.02409E+13,osm,340336,100000000,2365159640,mb_bbin,225710142,0,0,0,200000000,0.7
2.02409E+13,osm,403016,100000000,8082747712,ex_mb_bbin,226110172,0,0,0,200000000,0.2
2.02409E+13,osm,397190,100000000,5404893144,ex_mb_bbin,226579421,0,0,0,200000000,0.3
2.02409E+13,osm,398982,100000000,4066050704,ex_mb_bbin,227454939,0,0,0,200000000,0.4
2.02409E+13,osm,392769,100000000,3265569784,ex_mb_bbin,228288990,0,0,0,200000000,0.5
2.02409E+13,osm,393968,100000000,2733094792,ex_mb_bbin,229155626,0,0,0,200000000,0.6
2.02409E+13,osm,392841,100000000,2365159640,ex_mb_bbin,229432871,0,0,0,200000000,0.7
2.02409E+13,osm,363998,100000000,8082747712,mb_slin,244993651,0,0,0,200000000,0.2
2.02409E+13,osm,354942,100000000,5404893144,mb_slin,245068961,0,0,0,200000000,0.3
2.02409E+13,osm,357983,100000000,4066050704,mb_slin,245950115,0,0,0,200000000,0.4
2.02409E+13,osm,357495,100000000,3265569784,mb_slin,246727565,0,0,0,200000000,0.5
2.02409E+13,osm,359649,100000000,2733094792,mb_slin,247500761,0,0,0,200000000,0.6
2.02409E+13,osm,356237,100000000,2365159640,mb_slin,247274405,0,0,0,200000000,0.7
2.02409E+13,osm,383787,100000000,8082747712,ex_mb_slin,259615809,0,0,0,200000000,0.2
2.02409E+13,osm,373897,100000000,5404893144,ex_mb_slin,260090119,0,0,0,200000000,0.3
2.02409E+13,osm,372533,100000000,4066050704,ex_mb_slin,261066199,0,0,0,200000000,0.4
2.02409E+13,osm,366568,100000000,3265569784,ex_mb_slin,261961550,0,0,0,200000000,0.5
2.02409E+13,osm,361902,100000000,2733094792,ex_mb_slin,262854427,0,0,0,200000000,0.6
2.02409E+13,osm,357468,100000000,2365159640,ex_mb_slin,263058850,0,0,0,200000000,0.7
